행정시,업소명,소재지,X,Y
서귀포시,제주아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34,126.496097584808,33.2887737465342
서귀포시,누가빌리지호스텔,제주특별자치도 서귀포시 산록남로 2704,126.572938935589,33.2962842527692
서귀포시,우리들리조트아트텔,제주특별자치도 서귀포시 산록남로 2917,126.587280206738,33.3112499782389
서귀포시,모던플레이스,제주특별자치도 서귀포시 상예로 262,126.39476482458,33.2679311133235
서귀포시,오아시스휴양펜션,제주특별자치도 서귀포시 상효로 74-10,126.599251636959,33.2666380176884
서귀포시,중문리조트,제주특별자치도 서귀포시 색달로 117,126.41564261993,33.2625794386379
서귀포시,호텔더본제주,제주특별자치도 서귀포시 색달로 18,126.406497805552,33.2595323789253
서귀포시,중문비치호텔,제주특별자치도 서귀포시 색달중앙로 19,126.4131372242,33.2574374192792
서귀포시,호텔아루미,제주특별자치도 서귀포시 색달중앙로 38,126.413963378095,33.2585732100881
서귀포시,(주)호텔롯데 롯데리조트제주,제주특별자치도 서귀포시 색달중앙로252번길 124,126.41421493541,33.288115384057
서귀포시,아비아호텔,제주특별자치도 서귀포시 서문로 42-1,126.557526058418,33.2494805402382
서귀포시,오소록스테이,제주특별자치도 서귀포시 서문로 45,126.557782803032,33.2489987206627
서귀포시,오아시스모텔,제주특별자치도 서귀포시 서문로 58,126.55679249847,33.2484405126413
서귀포시,민중각여관,제주특별자치도 서귀포시 서문로28번길 4,126.558700821896,33.2506617922455
서귀포시,썬모텔,제주특별자치도 서귀포시 서문로28번길 6,126.558513561078,33.2508339700816
서귀포시,미몽장,제주특별자치도 서귀포시 서문로29번길 11,126.559293049048,33.2493808727263
서귀포시,강남여인숙,제주특별자치도 서귀포시 서문로38번길 6,126.558257897294,33.250204896656
서귀포시,발리모텔,제주특별자치도 서귀포시 서문로41번길 21-1,126.560152550879,33.249450636101
서귀포시,호텔가온제이스테이,제주특별자치도 서귀포시 서문로41번길 23,126.560337403024,33.249458232277
서귀포시,동명여관,제주특별자치도 서귀포시 서문로41번길 4,126.55825043093,33.249129495965
서귀포시,귀락여관,제주특별자치도 서귀포시 서문서로 10,126.556264144351,33.2483091545694
서귀포시,체이슨호텔더리드,제주특별자치도 서귀포시 서호중로 47,126.51835193546,33.2546201583405
서귀포시,라마다앙코르제주서귀포호텔,제주특별자치도 서귀포시 서호중로 55,126.519264988937,33.2544769965552
서귀포시,라마다 앙코르 이스트 호텔,제주특별자치도 서귀포시 서호중로 65,126.520072385124,33.2543641658308
서귀포시,그린트리인서귀포호텔,제주특별자치도 서귀포시 서호중앙로 84,126.520016497394,33.2545563574258
서귀포시,샤뜰레휴양펜션,제주특별자치도 서귀포시 서호호근로46번길 68,126.528838465622,33.2484234980024
서귀포시,스와브호텔,제주특별자치도 서귀포시 서홍로 102,126.553280149995,33.2571529235123
서귀포시,꿈꾸는 노마드,제주특별자치도 서귀포시 선반로 54,126.499557800623,33.2416968571055
서귀포시,라오체호스텔,제주특별자치도 서귀포시 선반로65번길 69,126.496576715956,33.2372117589299
서귀포시,나이스모텔,제주특별자치도 서귀포시 성산읍 고성오조로 87-3,126.913975125379,33.4512412929303
서귀포시,주식회사 디 아일랜드 마리나,제주특별자치도 서귀포시 성산읍 고성오조로 94,126.914524751646,33.4521040640047
서귀포시,브라운스위트제주호텔앤리조트,제주특별자치도 서귀포시 성산읍 고성오조로 94,126.914524751646,33.4521040640047
서귀포시,제주정원휴양펜션,제주특별자치도 서귀포시 성산읍 금백조로 85,126.864001590848,33.4385818363164
서귀포시,샤론의집,제주특별자치도 서귀포시 성산읍 금백조로131번길 177-1,126.844104732969,33.4306049359231
서귀포시,제주휴리조트 Ⅰ,제주특별자치도 서귀포시 성산읍 난고로 228,126.894041970174,33.4209654715729
