,EMD_KOR_NM,사업장명,도로명전체주소,X,Y,geometry
52,구좌읍,김녕약국,제주특별자치도 제주시 구좌읍 김녕로 114,126.75021550171,33.5545534998695,POINT (126.75021550171 33.5545534998695)
53,용담이동,용담온누리약국,제주특별자치도 제주시 용담로 46 (용담이동),126.507652346153,33.5127685258347,POINT (126.507652346153 33.5127685258347)
54,외도일동,드림약국,제주특별자치도 제주시 우정로 63 (외도일동),126.431118350237,33.4871363196766,POINT (126.431118350237 33.4871363196766)
55,이도이동,늘좋은약국,제주특별자치도 제주시 중앙로 284 (이도이동),126.533002564798,33.4950673629048,POINT (126.533002564798 33.4950673629048)
56,아라일동,제주누리약국,제주특별자치도 제주시 중앙로 616 (아라일동),126.547021236972,33.4687713436155,POINT (126.547021236972 33.4687713436155)
57,연동,홍익한약국,"제주특별자치도 제주시 노연로 87, 102호 (연동, 연동ABC주상복합)",126.489456041918,33.486048276059,POINT (126.489456041918 33.486048276059)
58,일도이동,최약국,"제주특별자치도 제주시 연삼로 548, 1층 (일도이동)",126.547453553136,33.5023973829354,POINT (126.547453553136 33.5023973829354)
59,도련일동,별약국,"제주특별자치도 제주시 건주로 27, 1층 102호 (도련일동)",126.5811410102,33.5170882126091,POINT (126.5811410102 33.5170882126091)
60,이도이동,우리동네약국,제주특별자치도 제주시 중앙로 355 (이도이동),126.538529182466,33.4901723073159,POINT (126.538529182466 33.4901723073159)
61,화북일동,동화약국,제주특별자치도 제주시 일주동로 241 (화북일동),126.570960870211,33.5198327989352,POINT (126.570960870211 33.5198327989352)
62,건입동,이화약국,"제주특별자치도 제주시 임항로 191, 1층 (건입동, 제주항국제여객터미널)",126.543440319692,33.5219764039135,POINT (126.543440319692 33.5219764039135)
63,화북일동,옵티마힐링약국,"제주특별자치도 제주시 동화로 28, 1층 (화북일동)",126.572794072486,33.5178427402212,POINT (126.572794072486 33.5178427402212)
64,연동,하나약국,"제주특별자치도 제주시 연북로 99, 1층 (연동, 365빌딩)",126.492005938839,33.4821139255537,POINT (126.492005938839 33.4821139255537)
65,외도일동,밝은약국,"제주특별자치도 제주시 우정로 69, 1층 (외도일동)",126.4311189103,33.48665568526,POINT (126.4311189103 33.48665568526)
66,용담이동,제주공항약국,"제주특별자치도 제주시 공항로 2, 3층 (용담이동, 국제공항)",126.495951277797,33.5059364682672,POINT (126.495951277797 33.5059364682672)
67,아라일동,명인약국,"제주특별자치도 제주시 연북로 511, 에이플렉스 1층 (아라일동)",126.534540530554,33.4844445262988,POINT (126.534540530554 33.4844445262988)
68,화북일동,온누리한솔약국,제주특별자치도 제주시 일주동로 181 (화북일동),126.564818561283,33.5190270774341,POINT (126.564818561283 33.5190270774341)
