학교,자치구,남녀공학구분,주소,X,Y
한천초등학교,제주시,남여공학,제주특별자치도 제주시 남성로11길 22,126.512797204966,33.5073335250861
함덕초등학교,제주시,남여공학,제주특별자치도 제주시 조천읍 일주동로 1231,126.671650371158,33.5386843502793
함덕초등학교선인분교장,제주시,남여공학,제주특별자치도 제주시 조천읍 선진길 7-18,126.704213041667,33.4594278795988
함덕초등학교선흘분교장,제주시,남여공학,제주특별자치도 제주시 조천읍 선흘동1길 41,126.704605216529,33.5150551056224
해안초등학교,제주시,남여공학,제주특별자치도 제주시 해안마을길 76,126.454547635803,33.4570333543325
화북초등학교,제주시,남여공학,제주특별자치도 제주시 일주동로 157,126.561392726619,33.5186245151971
제주대학교사범대학부설중학교,제주시,남여공학,제주특별자치도 제주시 용담로7길 33,126.508501571699,33.515924936051
고산중학교,제주시,남여공학,제주특별자치도 제주시 한경면 용고로 70,126.181867967975,33.3000775772714
김녕중학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 김녕로 118-20,126.750770106007,33.5526669517662
노형중학교,제주시,남여공학,제주특별자치도 제주시 노형1길 28,126.475828503976,33.4796693327165
세화중학교,제주시,남여공학,제주특별자치도 제주시 구좌읍 일주동로 3132,126.853067740454,33.52155716141
신엄중학교,제주시,남여공학,제주특별자치도 제주시 애월읍 일주서로 6711,126.368467240766,33.4727058465873
신창중학교,제주시,남여공학,제주특별자치도 제주시 한경면 두신로 72,126.185193292735,33.3489822935879
아라중학교,제주시,남여공학,제주특별자치도 제주시 간월동로 30,126.545937595887,33.4861000313404
애월중학교,제주시,남여공학,제주특별자치도 제주시 애월읍 애월로15길 8,126.324681418935,33.4646071691065
오름중학교,제주시,남여공학,제주특별자치도 제주시 화삼북로 110,126.584470249382,33.516674414393
우도중학교,제주시,남여공학,제주특별자치도 제주시 우도면 우도로 156-11,126.955432505029,33.505148236498
저청중학교,제주시,남여공학,제주특별자치도 제주시 한경면 중산간서로 3590,126.252932125216,33.3255602337793
제주동여자중학교,제주시,여,제주특별자치도 제주시 천수로 24,126.541031046762,33.5027167240396
제주동중학교,제주시,남여공학,제주특별자치도 제주시 동화로 12-1,126.572307363327,33.5188214517104
제주서중학교,제주시,남여공학,제주특별자치도 제주시 일주서로 7811,126.481035555874,33.4947445805808
제주제일중학교,제주시,남,제주특별자치도 제주시 남광로 33,126.539208710935,33.495674649195
제주중앙여자중학교,제주시,여,제주특별자치도 제주시 서사로11길 8,126.521620320512,33.5052822572644
제주중앙중학교,제주시,남,제주특별자치도 제주시 선덕로5길 37,126.500662558655,33.4867588609626
조천중학교,제주시,남여공학,제주특별자치도 제주시 조천읍 신북로 31,126.616476708812,33.5330144287686
추자중학교,제주시,남여공학,제주특별자치도 제주시 추자면 신양3길 15,126.325315129347,33.9458056617734
탐라중학교,제주시,남여공학,제주특별자치도 제주시 신설로 56,126.545089719732,33.4920277027035
한라중학교,제주시,남여공학,제주특별자치도 제주시 과원북2길 24,126.485116871947,33.4777878737589
한림여자중학교,제주시,여,제주특별자치도 제주시 한림읍 한림로 604,126.259736058772,33.4103134457505
한림중학교,제주시,남,제주특별자치도 제주시 한림읍 명월성로 21,126.266472826344,33.4057438180269
함덕중학교,제주시,남여공학,제주특별자치도 제주시 조천읍 일주동로 1234,126.672654169251,33.5367861789804
귀일중학교,제주시,남여공학,제주특별자치도 제주시 애월읍 항몽로 44,126.405226062273,33.4790007237194
신성여자중학교,제주시,여,제주특별자치도 제주시 아봉로 174-5,126.563185584287,33.4770492263727
오현중학교,제주시,남,제주특별자치도 제주시 일주동로 101,126.556448684201,33.5178018797061
제주여자중학교,제주시,여,제주특별자치도 제주시 구산로 50,126.539762116082,33.4833336972294
