사업장명,도로명주소,X,Y
(주)코리아세븐 제주이도제일점,제주특별자치도 제주시 동광로6길 11 (이도이동),126.53229050101,33.5010736133603
지에스25연동아산점,"제주특별자치도 제주시 사장길 26, 1층 (연동)",126.495168265436,33.4833818646661
코리아세븐제주삼양해수욕장점,제주특별자치도 제주시 원당로5길 36 (삼양일동),126.588210953135,33.5268220631548
세븐일레븐 제주아라미화점,"제주특별자치도 제주시 아란12길 24, 에이동 101호 (아라일동)",126.54424307675,33.4693664932236
GS25 탑동아랑점,제주특별자치도 제주시 임항로 32 (건입동),126.528331134238,33.5163582448124
CU제주하귀점,제주특별자치도 제주시 애월읍 하귀로 35,126.40098470745,33.4803467441823
CU씨앤블루점,제주특별자치도 제주시 애월읍 애월해안로 576,126.36531563679,33.4778613376284
씨유제주오복점,제주특별자치도 제주시 오복3길 14 (이도이동),126.534941210695,33.4973286371583
세븐일레븐 제주삼무파크점,제주특별자치도 제주시 도령로 128 (연동),126.491117997998,33.4926887546046
GS25 제주용화점,제주특별자치도 제주시 용화로 26 (용담이동),126.506258504691,33.5097406697037
씨유 제주법원점,제주특별자치도 제주시 중앙로 319 (이도이동),126.535904309324,33.492795700244
세븐일레븐 제주사대부고점,제주특별자치도 제주시 용담로 71 (용담이동),126.510588217259,33.5126872955495
씨유 제주중앙로점,"제주특별자치도 제주시 중앙로14길 1, 1층 (이도일동)",126.524065950551,33.5112128748206
세븐일레븐 제주월랑센터점,"제주특별자치도 제주시 다랑곶4길 26, 1층 (노형동)",126.479772258147,33.4888206091075
GS25 연동중앙점,제주특별자치도 제주시 연동7길 35 (연동),126.490861227872,33.4867536024654
씨유 노형대림점,"제주특별자치도 제주시 도령로 7, 1층 (노형동)",126.48011049475,33.4866698393292
씨유제주승진타운점,"제주특별자치도 제주시 용문로 157, 1층 (용담이동)",126.509957111263,33.5088997461005
GS25 제주세화점,제주특별자치도 제주시 구좌읍 구좌로 77-1,126.858930755952,33.5212792520413
씨유 제주제원점,제주특별자치도 제주시 신광로 45 (연동),126.490289398649,33.4880113171089
CU 제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 518,126.668070829224,33.5424706923704
CU 제주조천점,제주특별자치도 제주시 조천읍 신북로 214,126.636065043543,33.5352964165151
GS25노형이화점,제주특별자치도 제주시 원노형로 3 (노형동),126.483971579736,33.4881165325562
세븐일레븐 제주로얄점,제주특별자치도 제주시 신대로12길 41 (연동),126.492169112115,33.4886481651849
씨유 제주성지점,제주특별자치도 제주시 중앙로13길 34-10 (일도일동),126.528647476105,33.5110583677909
씨유 천마타워점,제주특별자치도 제주시 중앙로 20 (삼도이동),126.524564588716,33.5166649020373
GS25도남성환점,제주특별자치도 제주시 신성로 84 (도남동),126.528275272292,33.4956681299224
GS25이호현사점,"제주특별자치도 제주시 테우해안로 143, 1층 (이호일동)",126.449581938376,33.4975282005215
GS25제주남문점,"제주특별자치도 제주시 남성로 159, 1층 (삼도이동)",126.522437817181,33.509474743849
세븐일레븐 제주도두점,제주특별자치도 제주시 도두항서길 59 (도두일동),126.463780941281,33.5047741395588
씨유 제주신삼도점,제주특별자치도 제주시 서광로 257 (삼도일동),126.524001555609,33.5001115136004
씨유 제주남성점,제주특별자치도 제주시 남성로 47-1 (용담일동),126.512545215233,33.5045766415891
씨유 제주서광로점,제주특별자치도 제주시 서광로 254-1 (삼도일동),126.523743784109,33.4996262779083
씨유제주곽지교차로점,제주특별자치도 제주시 애월읍 일주서로 6015,126.306993156099,33.4481575966709
GS25 한림초교점,제주특별자치도 제주시 한림읍 한림로4길 27,126.262924200181,33.4105360062392
GS25 제주관광대점,제주특별자치도 제주시 애월읍 평화로 2727,126.435972726582,33.4479489085309
씨유제주에코아바점,"제주특별자치도 제주시 원노형3길 40, 1층 103호 (노형동)",126.481801586092,33.4868195539038
