user_count,설치장소,행정시,읍면동,주소,X,Y
66141,더마파크,제주시,한림읍,제주시 한림읍 월림7길 155,126.241504837278,33.3555387479128
9418,전기차충전소_서부농업기술센터,제주시,한림읍,제주시 한림읍 월림 7길 90,126.247697582116,33.3534662412754
110895,전기차충전소_한림공원 인근 공영주차장,제주시,한림읍,제주시 한림읍 금능리 2018,126.237574815693,33.390881031756
51873,전기차충전소_한림읍사무소,제주시,한림읍,제주시 한림읍 한림리 919,126.267141680945,33.4104662340765
113576,한림공원,제주시,한림읍,제주시 한림읍 한림로 300,126.239691183153,33.3902248567191
349406,한림종합운동장,제주시,한림읍,제주시 한림읍 한림중앙로 71-9,126.268544091817,33.4096918414655
397439,협재 해변(협재해수욕장),제주시,한림읍,제주시 한림읍 협재리 2450번지,126.238560278913,33.3934575109222
18209,전기차충전소_김창열미술관,제주시,한림읍,제주시 한림읍 용금로 883-5,126.268671721329,33.3390713180748
5526,제주돌마을공원,제주시,한림읍,제주시 한림읍 금능남로 421,126.253692271452,33.3537840748852
15496,월령포구,제주시,한림읍,제주시 한림읍 월령리 317-1,126.216300387621,33.3785224357271
67696,한수풀도서관,제주시,한림읍,제주시 한림읍 대림리 1877(한림상로 240-11),126.268326027019,33.4205946266709
19594,전기차충전소_서부소방서,제주시,한림읍,제주시 한림읍 동명리 663(한림중앙로 150),126.270084260295,33.40258457985
6611,옹포천_어울공원,제주시,한림읍,제주시 한림읍 옹포리17,126.259292864414,33.4040647789979
440,그리스 신화박물관,제주시,한림읍,제주시 한림읍 광산로 942,126.357521258907,33.3480861338113
8090,월령선인장 군락지,제주시,한림읍,제주시 한림읍 월령리 376-1,126.214335950519,33.3763138373309
11162,14코스(흴체어구간),제주시,한림읍,제주시 한림읍 금능리 1494-17,126.228988152662,33.3896790877228
4045,금악오름,제주시,한림읍,제주시 한림읍 금악리 1210,126.305846956785,33.3510486540145
3158,전기차충전소_옹포리사무소(새마을회),제주시,한림읍,제주시 한림읍 월계로 21(옹포리 117-1),126.255809442607,33.4035678060498
2479,평수포구,제주시,한림읍,제주시 한림읍 수원리 960-6,126.263814784219,33.4282018437618
2989,금능석물원,제주시,한림읍,제주시 한림읍 금능리 1246,126.227560051219,33.3853478128443
1237,전기차충전소_한림금능농공단지 내 제주맥주,제주시,한림읍,제주시 한림읍 금능농공길 62-11(금능리 407-14),126.241214530803,33.3584997914398
485,돌빛나예술학교,제주시,한림읍,제주시 한림읍 협재리 2190-1,126.247976294372,33.3841828449986
282,비블리아성서식물원,제주시,한림읍,제주시 한림읍 상명리 1191-5,126.275107232255,33.355991015272
7281,백년초박물관,서귀포시,호근동,서귀포시 호근동 310-3,126.543923655568,33.2446757558736
274760,서귀포 치유의 숲,서귀포시,호근동,서귀포시 산록남로 2271,126.527902264226,33.2919386189088
1881,전기차충전소_서귀포시 일터나눔 자활센터,서귀포시,호근동,서귀포시 속골로 22(호근동 1579-1),126.529447657498,33.2417718705544
21028,전기차충전소_화북동주민센터,제주시,화북일동,제주시 화북일동 1976-7,126.565503111573,33.5202607838236
150813,80호공원,제주시,화북일동,제주시 화북일동 1972-9,126.567688947053,33.5196801435028
62244,79호공원,제주시,화북일동,제주시 화북일동 1957,126.564765088589,33.5214939136434
11812,1-86호어린이공원,제주시,화북일동,제주시 화북일동 11-8,126.573761036687,33.5196745897396
23673,1-87호어린이공원,제주시,화북일동,제주시 화북일동 9-2,126.576346557288,33.519826091486
20711,전기차충전소_동화초등학교 맞은편 공영주차장,제주시,화북일동,제주시 화북일동 14-1,126.576666202166,33.5179351033849
95578,전기차충전소_회수사거리,서귀포시,회수동,서귀포시 회수동 788-2,126.442480727738,33.2631002864537
10209,화산석테마공원,서귀포시,회수동,서귀포시 회수동 573-3,126.445874430466,33.2523505323845
