ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|이혼|201501|69|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|출생|201501|286|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|혼인|201501|388|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|개명|201501|59|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|사망|201501|122|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|이혼|201501|43|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|출생|201501|170|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|혼인|201501|190|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|개명|201501|71|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|사망|201501|216|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|이혼|201501|67|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|출생|201501|397|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|혼인|201501|261|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|개명|201501|49|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|사망|201501|96|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|이혼|201501|63|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|출생|201501|112|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|혼인|201501|424|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|개명|201501|101|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|사망|201501|75|2017-11-21 16:58:47
