,행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
84,독산3동,1118054,4671,1102,408,159819581.6,0.59169516,0.255707378,0.266266728,-0.634319843,55.9169516,52.55707378,52.66266728,43.65680157,48.79211243
85,독산4동,1118055,2942,919,268,125434538.9,-0.541971403,-0.00231351,-0.345590699,-0.820438947,44.58028597,49.9768649,46.54409301,41.79561053,44.37782544
86,돈암1동,1108058,2882,621,192,532487290.8,-0.581312059,-0.422478672,-0.677741874,1.382853177,44.18687941,45.77521328,43.22258126,63.82853177,54.16512675
87,돈암2동,1108059,3495,372,231,104063675.5,-0.179381693,-0.773556273,-0.507295876,-0.936114999,48.20618307,42.26443727,44.92704124,40.63885001,42.9728183
88,동선동,1108083,2280,458,204,148951244.6,-0.976029971,-0.652300556,-0.625296951,-0.693147897,40.23970029,43.47699444,43.74703049,43.06852103,42.65905341
89,동화동,1102073,1894,217,144,126157843.6,-1.229121523,-0.992098556,-0.887521563,-0.816523849,37.70878477,40.07901444,41.12478437,41.83476151,40.61356328
90,둔촌1동,1125070,39,1,1,3908359.5,-2.445403462,-1.2966478,-1.512490221,-1.478234952,25.54596538,37.033522,34.87509779,35.21765048,33.55827189
91,둔촌2동,1125071,4118,536,337,490328580.4,0.229105449,-0.542324439,-0.044032396,1.154656822,52.29105449,44.57675561,49.55967604,61.54656822,55.22738674
92,등촌1동,1116052,2934,309,265,282713136.7,-0.547216824,-0.862383136,-0.35870193,0.030877483,44.52783176,41.37616864,46.4129807,50.30877483,47.10240587
93,등촌2동,1116053,3187,432,236,269260708.1,-0.381330392,-0.688959261,-0.485443825,-0.041937723,46.18669608,43.11040739,45.14556175,49.58062277,47.21516712
94,등촌3동,1116054,6761,5507,2006,226239710.6,1.962061334,6.466538043,7.250182217,-0.27480146,69.62061334,114.6653804,122.5018222,47.2519854,72.92928472
95,마장동,1104054,3925,838,374,198244988.4,0.102559673,-0.116519477,0.117672781,-0.426331085,51.02559673,48.83480523,51.17672781,45.73668915,48.01664581
96,마천1동,1124055,4211,1639,448,200564211.7,0.290083466,1.01285064,0.441083136,-0.41377761,52.90083466,60.1285064,54.41083136,45.8622239,50.83512142
97,마천2동,1124056,4058,1509,424,223473827.1,0.189764794,0.829557113,0.336193291,-0.289772613,51.89764794,58.29557113,53.36193291,47.10227387,50.80263308
98,망우3동,1107068,3394,1921,340,102132567.6,-0.24560513,1.410456598,-0.030921165,-0.946567685,47.5439487,64.10456598,49.69078835,40.53432315,47.2055989
99,망우본동,1107073,6205,2343,617,344063515,1.597504591,2.005455586,1.179682458,0.362954357,65.97504591,70.05455586,61.79682458,53.62954357,59.99393132
100,망원1동,1114069,3375,722,295,292595710.1,-0.258063004,-0.280073701,-0.227589624,0.084369804,47.41936996,47.19926299,47.72410376,50.84369804,49.131107
101,망원2동,1114070,3124,529,260,287724753.3,-0.42263808,-0.552194091,-0.380553981,0.058004325,45.7736192,44.47805909,46.19446019,50.58004325,48.00271333
102,면목2동,1107052,4566,1715,406,227463249.3,0.522849012,1.120006855,0.257525908,-0.268178698,55.22849012,61.20006855,52.57525908,47.31821302,51.98672391
103,면목3.8동,1107072,5013,1970,449,303175096.8,0.815936897,1.479544158,0.445453546,0.14163383,58.15936897,64.79544158,54.45453546,51.4163383,55.48606215
104,면목4동,1107054,3826,1807,567,90900801.46,0.037647592,1.249722274,0.961161949,-1.007362906,50.37647592,62.49722274,59.61161949,39.92637094,48.42694707
105,면목5동,1107055,2225,813,218,40192996.37,-1.012092239,-0.151768232,-0.564111209,-1.281833738,39.87907761,48.48231768,44.35888791,37.18166262,40.59591341
106,면목7동,1107057,4315,1137,360,451616646.2,0.358273936,0.305055635,0.056487039,0.94511715,53.58273936,53.05055635,50.56487039,59.4511715,56.04658978
107,면목본동,1107071,6099,2540,545,191536158.9,1.528002766,2.283215777,0.865012925,-0.462644588,65.28002766,72.83215777,58.65012925,45.37355412,55.81967636
108,명동,1102055,764,93,51,226401754,-1.970037206,-1.166932381,-1.293969711,-0.273924352,30.29962794,38.33067619,37.06030289,47.26075648,41.03071002
109,명일1동,1125053,4033,375,338,203879272.7,0.173372854,-0.769326423,-0.039661985,-0.395833873,51.73372854,42.30673577,49.60338015,46.04166127,46.97167762
110,명일2동,1125054,2590,179,182,453980397.6,-0.772769916,-1.045676663,-0.721445976,0.957911646,42.27230084,39.54323337,42.78554024,59.57911646,50.51227677
111,목1동,1115051,3282,345,251,277292219.3,-0.31904102,-0.811624929,-0.419887672,0.001535182,46.8095898,41.88375071,45.80112328,50.01535182,47.42439065
112,목2동,1115052,4183,1119,373,147455530.6,0.271724493,0.279676532,0.113302371,-0.701243887,52.71724493,52.79676532,51.13302371,42.98756113,47.66829145
113,목3동,1115053,3377,1094,343,303089565.8,-0.256751649,0.244427776,-0.017809934,0.141170868,47.43248351,52.44427776,49.82190066,51.41170868,50.59783723
114,목4동,1115054,3279,997,299,146740255.3,-0.321008053,0.107662606,-0.210107983,-0.705115523,46.78991947,51.07662606,47.89892017,42.94884477,45.75818086
115,목5동,1115071,4699,49,245,374621059.4,0.610054132,-1.22897019,-0.446110133,0.528356008,56.10054132,37.7102981,45.53889867,55.28356008,51.1535528
116,무악동,1101057,1424,206,125,1158702898,-1.537289993,-1.007608008,-0.970559357,4.772428385,34.62710007,39.92391992,40.29440643,97.72428385,67.81104873
117,묵1동,1107064,5945,1265,492,195773030.7,1.427028416,0.485529262,0.633381184,-0.439711279,64.27028416,54.85529262,56.33381184,45.60288721,52.29690312
118,묵2동,1107065,3612,1100,294,234760014.7,-0.102667414,0.252887478,-0.231960034,-0.228682821,48.97332586,52.52887478,47.68039966,47.71317179,48.80385411
119,문래동,1119076,4695,276,289,230431408.2,0.607431422,-0.908911493,-0.253812085,-0.25211267,56.07431422,40.91088507,47.46187915,47.4788733,48.04643927
120,문정1동,1124068,2965,402,234,354040609.7,-0.526890818,-0.731257767,-0.494184646,0.416958302,44.73109182,42.68742233,45.05815354,54.16958302,49.13357797
121,문정2동,1124069,4003,96,187,584306554.5,0.153702526,-1.162702531,-0.699593925,1.663340104,51.53702526,38.37297469,43.00406075,66.63340104,55.71488374
122,미성동,1121083,5877,1352,506,137181789.1,1.38244234,0.60819493,0.694566927,-0.756853518,63.8244234,56.0819493,56.94566927,42.43146482,50.91316687
123,미아동,1109070,4524,1280,369,335674890.8,0.495310553,0.506678515,0.095820731,0.317548474,54.95310553,55.06678515,50.95820731,53.17548474,53.58482679
124,반포1동,1122057,4044,458,192,296601992.4,0.180585307,-0.652300556,-0.677741874,0.106054979,51.80585307,43.47699444,43.22258126,51.06054979,48.9027422
125,반포2동,1122058,1980,7,79,191194706.2,-1.17273325,-1.288188099,-1.171598225,-0.4644928,38.2726675,37.11811901,38.28401775,45.355072,41.61324254
126,반포3동,1122059,3085,41,144,227752498.8,-0.448209507,-1.240249792,-0.887521563,-0.266613051,45.51790493,37.59750208,41.12478437,47.33386949,44.49067664
127,반포4동,1122060,2865,117,124,350956250.3,-0.592458578,-1.133093576,-0.974929767,0.400263304,44.07541422,38.66906424,40.25070233,54.00263304,47.6148234
128,반포본동,1122056,282,10,12,248238089.6,-2.286073807,-1.283958249,-1.464415708,-0.155728797,27.13926193,37.16041751,35.35584292,48.44271203,40.57176183
129,발산1동,1116067,4874,1546,587,441864254.8,0.724797711,0.88172527,1.048570153,0.892329478,57.24797711,58.8172527,60.48570153,58.92329478,58.76497473
130,방배1동,1122062,2901,320,159,315305590.4,-0.568854184,-0.846873684,-0.82196541,0.207293676,44.31145816,41.53126316,41.7803459,52.07293676,47.3892743
131,방배2동,1122063,3523,493,229,154714926.7,-0.16102272,-0.602952298,-0.516036697,-0.661950281,48.3897728,43.97047702,44.83963303,43.38049719,44.66799076
