행정구역명,행정구역코드,고령자,수급자,중증장애,매출액,고령자_zscore,수급자_zscore,중증장애_zscore,매출액_zscore,고령자_tscore,수급자_tscore,중증장애_tscore,매출액_tscore,의료가중지수
고척2동,1117062,5243,1176,479,285131800.3380282,0.9667427441585864,0.3600436934999735,0.576565851769819,0.043969208009720234,59.667427441585865,53.600436934999735,55.76565851769819,50.4396920800972,53.504115306703
공덕동,1114077,5910,1151,528,145184891.1401869,1.4040797002751233,0.3247949383105163,0.7907159512332211,-0.7135343869609226,64.04079700275123,53.247949383105166,57.907159512332214,42.86465613039077,50.79727354683056
공릉1동,1111079,6594,2447,940,159334135.97457626,1.8525631755130711,2.152090407331975,2.5913249508030516,-0.6369474591780613,68.52563175513072,71.52090407331976,75.91324950803052,43.630525408219384,57.5257034564706
공릉2동,1111056,5529,965,495,220649696.51830983,1.1542665364364417,0.06254419970095511,0.6464924148599095,-0.3050590465954221,61.54266536436442,50.62544199700955,56.464924148599096,46.94940953404578,51.70080570794733
공항동,1116069,4303,1771,527,229564223.8577075,0.35040580450409664,1.1989640670090538,0.7863455410400905,-0.256806558950186,53.50405804504096,61.98964067009054,57.8634554104009,47.43193441049814,52.49789785782322
광장동,1105063,3805,271,271,138460922.54166666,0.023878362006292442,-0.9159612443583754,-0.3324794684013576,-0.7499298344562888,50.238783620062925,40.840387556416246,46.675205315986425,42.50070165543711,44.279576038602286
광희동,1102059,1123,232,83,274429439.913738,-1.7346489487951349,-0.9709493024539286,-1.154116584709921,-0.01396044933348317,32.653510512048655,40.290506975460715,38.45883415290079,49.86039550666517,43.31909284556054
교남동,1101058,1624,215,126,1218880640.338983,-1.4061544735111993,-0.9949184559827595,-0.9661889464053028,5.098158022572704,35.938455264888006,40.05081544017241,40.33811053594697,100.98158022572704,69.72963768486467
구로1동,1117052,2668,100,185,159821239.71681416,-0.7216270639374893,-1.1570627298542624,-0.7083347450105941,-0.6343108676450019,42.78372936062511,38.429372701457375,42.91665254989406,43.656891323549985,42.47491332539181
구로2동,1117071,5946,1128,464,443106746.8922559,1.4276840937086996,0.29236608353621574,0.5110096988728591,0.8990548302362993,64.276840937087,52.923660835362156,55.11009698872859,58.990548302362996,58.50104510837835
구로3동,1117054,3541,492,305,346271373.12061405,-0.1492205231732664,-0.6043622484835742,-0.1838855218349153,0.3749050353405353,48.50779476826734,43.956377515164256,48.16114478165085,53.74905035340535,50.28859329321625
구로4동,1117055,4665,957,419,287632641.05959034,0.5877610940306129,0.051264598040328825,0.31434124018197956,0.05750574016959965,55.87761094030613,50.512645980403285,53.143412401819795,50.57505740169599,51.945690485707274
구로5동,1117056,4826,496,394,424516570.42346936,0.6933251868863287,-0.5987224476532611,0.20508098535371316,0.7984300605506985,56.93325186886329,44.01277552346739,52.05080985353713,57.98430060550699,54.587387624825084
구산동,1112057,6237,1536,1287,244016233.8351064,1.6184862739634405,0.8676257682281565,4.10785728781939,-0.17858082624068408,66.18486273963441,58.676257682281566,91.0785728781939,48.21419173759316,58.997235120896974
구의1동,1105060,3120,976,278,238442828.53418803,-0.42526079082703255,0.07805365198431626,-0.30188659704944304,-0.20874851322908114,45.74739209172967,50.78053651984316,46.98113402950557,47.91251486770919,47.86497149686128
구의2동,1105061,4355,1132,367,106443680.49261084,0.3845010394637067,0.2980058843665289,0.08707991013918542,-0.9232325253997421,53.845010394637065,52.98005884366529,50.87079910139185,40.76767474600258,46.7831996372441
구의3동,1105062,4127,553,284,333747922.41875,0.23500654771772406,-0.5183552858212988,-0.2756641358906591,0.30711819401281,52.35006547717724,44.81644714178701,47.24335864109341,53.0711819401281,50.753902145448905
군자동,1105054,3015,921,277,167672216.3267974,-0.49410693834162983,0.0005063905675105202,-0.30625700724257365,-0.5918151595212495,45.0589306165837,50.00506390567511,46.937429927574264,44.08184840478751,45.67077525015043
금호1가동,1104059,2637,772,246,222765031.87826088,-0.74195306939418,-0.20957619036165412,-0.441739723229624,-0.29360917500543093,42.5804693060582,47.90423809638346,45.58260276770376,47.06390824994569,46.12911499901456
