,EMD_CD,EMD_KOR_NM,SIG_KOR_NM,약국명,경도,위도,geometry
484,11350105,상계동,노원구,노원프라자약국,127.06193335183242,37.64875488265584,POINT (961356.1037960284 1961120.0271896748)
485,11350105,상계동,노원구,노원행복한약국,127.0619468416128,37.65650429739843,POINT (961361.3093509205 1961979.7909032383)
486,11500103,화곡동,강서구,노을약국,126.84436218307738,37.5427471109933,POINT (942080.8488465612 1949470.7523123934)
487,11380102,녹번동,은평구,녹번건강약국,126.93748390433136,37.6031574398404,POINT (950347.4361033584 1956119.710138843)
488,11380102,녹번동,은평구,녹번온누리약국,126.9354053086,37.6024715679,POINT (950163.5020778762 1956044.716628807)
489,11260101,면목동,중랑구,녹색건강약국,127.08678888888888,37.584125,POINT (963517.1721160938 1953939.6778771624)
490,11545102,독산동,금천구,녹수프라자약국,126.9018002502876,37.46577427229796,POINT (947100.7033469239 1940897.221654545)
491,11500102,등촌동,강서구,녹십자약국,126.85721258167716,37.55577021906079,POINT (943225.9468171463 1950907.7675530126)
492,11545103,시흥동,금천구,녹십자약국,126.9039825265103,37.44263466718476,POINT (947277.444998744 1938328.812731938)
493,11320107,창동,도봉구,녹십자약국,127.0412156885136,37.63385444963799,POINT (959520.4082115816 1959475.6177274524)
494,11560133,대림동,영등포구,녹십자약국,126.89942499422116,37.49487799617433,POINT (946911.2506430597 1944127.4380716255)
495,11710101,잠실동,송파구,녹십자약국,127.0849748505,37.5113714448,POINT (963321.3763668563 1945868.7918789987)
496,11305103,수유동,강북구,녹십자약국,127.0238910382088,37.63115897503514,POINT (957990.2883353424 1959184.1804462299)
497,11260102,상봉동,중랑구,3층엠코약국,127.0916233517,37.5983343514,POINT (963950.8681042951 1955514.2690211018)
498,11650101,방배동,서초구,녹십자약국,126.9925507635,37.4888477902,POINT (955139.7009518867 1943409.9727464402)
499,11680103,개포동,강남구,녹십자옵티마약국,127.0505113954934,37.47468778472504,POINT (960256.1546125886 1941812.9739744933)
500,11710111,방이동,송파구,녹원약국,127.11737185699296,37.51342681028233,POINT (966185.4612798004 1946084.6854261062)
501,11620102,신림동,관악구,녹원약국,126.93214158774198,37.47809647143691,POINT (949792.0796241129 1942247.6814625068)
502,11680108,논현동,강남구,논현사랑약국,127.03743173038828,37.51625068827705,POINT (959122.3029674193 1946429.7085588148)
503,11680108,논현동,강남구,논현수약국,127.04076274102304,37.51796149223626,POINT (959417.5964057383 1946618.0697202135)
504,11680108,논현동,강남구,논현연세약국,127.02708268176208,37.50887780970368,POINT (958203.6287735762 1945616.2798128792)
505,11680108,논현동,강남구,논현천사약국,127.03406731282726,37.5076002790631,POINT (958820.231342195 1945471.4662141919)
506,11680108,논현동,강남구,논현필리아약국,127.04233150916012,37.51377134557649,POINT (959553.9664915809 1946152.5230920804)
507,11710107,가락동,송파구,농수산약국,127.11345519,37.4964665231,POINT (965831.5979142751 1944204.4684133916)
508,11710105,석촌동,송파구,누가신약국,127.11004753905712,37.50155862089506,POINT (965532.7200139218 1944770.644998445)
509,11305101,미아동,강북구,누가약국,127.0209449824668,37.61921409385537,POINT (957723.5754034804 1957860.2666907941)
