"동별(1)","동별(2)",항목,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 1/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4,2022 2/4
"동별(1)","동별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"동별(1)","동별(2)",항목,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","양천구",계,449378,10429,18734,24476,24692,27040,30150,27164,28811,36545,40053,41603,35279,34449,26717,17776,11989,7798,3855,1422,340,56,447738,10144,18266,24401,24536,26715,30028,27337,28346,36443,39598,41697,35087,34504,26665,18257,12068,7918,3916,1422,334,56
"합계","양천구",한국인,446182,10383,18664,24402,24642,26909,29855,26787,28419,36236,39761,41246,34844,34249,26626,17728,11976,7793,3849,1419,340,54,444548,10098,18198,24337,24491,26570,29730,26951,27965,36130,39311,41331,34658,34309,26574,18210,12055,7913,3910,1419,334,54
"합계","양천구",외국인,3196,46,70,74,50,131,295,377,392,309,292,357,435,200,91,48,13,5,6,3,-,2,3190,46,68,64,45,145,298,386,381,313,287,366,429,195,91,47,13,5,6,3,0,2
"합계","강서구",계,578426,15372,20635,21246,22076,32767,53189,52420,46659,46417,43624,44263,40867,44967,35151,23720,16354,10652,5395,2080,483,89,578465,15072,20351,21330,21901,32423,53286,53125,46202,46654,43333,44428,40616,44808,35131,24219,16580,10935,5439,2071,472,89
"합계","강서구",한국인,573046,15219,20501,21166,22022,32553,52621,51654,45907,45867,43237,43735,40282,44613,35011,23653,16333,10636,5387,2078,482,89,573045,14917,20216,21248,21837,32197,52681,52361,45433,46104,42943,43916,40043,44465,34992,24151,16559,10921,5432,2069,471,89
"합계","강서구",외국인,5380,153,134,80,54,214,568,766,752,550,387,528,585,354,140,67,21,16,8,2,1,-,5420,155,135,82,64,226,605,764,769,550,390,512,573,343,139,68,21,14,7,2,1,0
"합계","구로구",계,419984,11802,14898,14974,14863,22719,32460,33037,32040,32928,32226,35505,34458,34210,26807,19037,13623,8786,3976,1287,305,43,418709,11666,14652,14899,14667,22516,32413,33171,31630,32995,31858,35467,34243,34180,26732,19324,13653,9022,3996,1277,298,50
"합계","구로구",한국인,396017,11193,14062,14490,14523,22158,31502,31116,29584,30814,30184,32183,30005,31780,25806,18758,13553,8742,3949,1272,300,43,394850,11019,13863,14462,14364,21917,31416,31255,29192,30854,29792,32156,29817,31830,25728,19050,13582,8978,3970,1262,293,50
"합계","구로구",외국인,23967,609,836,484,340,561,958,1921,2456,2114,2042,3322,4453,2430,1001,279,70,44,27,15,5,-,23859,647,789,437,303,599,997,1916,2438,2141,2066,3311,4426,2350,1004,274,71,44,26,15,5,0
"합계","금천구",계,244901,5537,6744,6765,7537,13796,24313,21652,17567,16673,17232,21367,22383,21516,15232,10583,7785,5030,2254,731,170,34,245231,5512,6585,6739,7489,13643,24491,22072,17500,16780,16992,21392,22261,21545,15224,10770,7807,5217,2269,735,175,33
"합계","금천구",한국인,231098,5143,6236,6437,7380,13520,23719,20587,16206,15516,16019,19310,19791,20151,14751,10408,7751,5007,2243,724,166,33,231565,5104,6114,6447,7341,13376,23887,20997,16148,15623,15779,19355,19666,20226,14750,10596,7772,5194,2259,728,171,32
"합계","금천구",외국인,13803,394,508,328,157,276,594,1065,1361,1157,1213,2057,2592,1365,481,175,34,23,11,7,4,1,13666,408,471,292,148,267,604,1075,1352,1157,1213,2037,2595,1319,474,174,35,23,10,7,4,1
"합계","영등포구",계,400241,12094,13489,12178,12347,22070,38107,38982,34345,30503,28872,32434,31456,29817,22046,15710,11754,8173,4208,1290,312,54,399722,11977,13366,12119,12252,21881,38085,39250,33971,30836,28557,32550,31198,29729,21928,16022,11713,8370,4257,1304,308,49
"합계","영등포구",한국인,376740,11532,12694,11657,11994,21563,37091,37249,32097,28530,26841,29131,27050,27250,21073,15385,11680,8117,4178,1276,299,53,376437,11420,12606,11652,11932,21309,37018,37515,31758,28869,26512,29290,26838,27261,20952,15690,11640,8314,4227,1291,295,48
"합계","영등포구",외국인,23501,562,795,521,353,507,1016,1733,2248,1973,2031,3303,4406,2567,973,325,74,56,30,14,13,1,23285,557,760,467,320,572,1067,1735,2213,1967,2045,3260,4360,2468,976,332,73,56,30,13,13,1
"합계","동작구",계,394649,9742,13023,13026,14521,28623,39426,33231,28887,29233,28831,31473,28284,28879,22551,16913,13046,8809,4252,1426,374,99,395030,9583,12928,13002,14373,28903,39673,33573,28714,29381,28534,31573,28147,28831,22443,17098,13114,8990,4276,1425,381,88
"합계","동작구",한국인,386017,9618,12879,12920,14385,27003,37972,32429,28170,28736,28407,30785,27342,28275,22317,16830,13022,8798,4237,1422,374,96,385898,9454,12783,12898,14208,26870,38128,32734,27988,28880,28118,30897,27230,28265,22205,17019,13092,8980,4262,1421,381,85
"합계","동작구",외국인,8632,124,144,106,136,1620,1454,802,717,497,424,688,942,604,234,83,24,11,15,4,-,3,9132,129,145,104,165,2033,1545,839,726,501,416,676,917,566,238,79,22,10,14,4,0,3
"합계","관악구",계,500336,8486,11340,12450,15195,40217,72557,52336,36104,33724,33180,36299,33467,34295,27116,20990,15994,10477,4337,1376,325,71,500841,8296,11161,12253,15035,40256,73476,53075,35739,33911,32671,36361,33253,34107,26983,21269,16073,10726,4399,1407,316,74
"합계","관악구",한국인,486375,8232,11029,12261,14950,38594,70454,50650,34859,32808,32380,35027,31784,33284,26715,20854,15954,10458,4321,1368,322,71,486946,8031,10865,12083,14773,38578,71294,51406,34514,33015,31877,35108,31608,33158,26589,21136,16034,10708,4383,1399,313,74
"합계","관악구",외국인,13961,254,311,189,245,1623,2103,1686,1245,916,800,1272,1683,1011,401,136,40,19,16,8,3,-,13895,265,296,170,262,1678,2182,1669,1225,896,794,1253,1645,949,394,133,39,18,16,8,3,0
"합계","서초구",계,413677,11709,19492,23164,21389,23622,28432,29037,30597,37051,38359,36151,27022,26248,21926,15638,11448,6971,3535,1386,402,98,411515,11435,19037,23064,21403,23390,28252,28968,29899,36913,37959,36421,26988,26075,21890,15743,11601,7087,3521,1381,385,103
"합계","서초구",한국인,409823,11623,19326,23012,21269,23393,27975,28499,30096,36607,37970,35837,26800,26132,21865,15612,11433,6963,3530,1385,399,97,407672,11340,18871,22917,21299,23149,27767,28449,29408,36474,37571,36106,26769,25957,21831,15719,11585,7079,3516,1380,383,102
"합계","서초구",외국인,3854,86,166,152,120,229,457,538,501,444,389,314,222,116,61,26,15,8,5,1,3,1,3843,95,166,147,104,241,485,519,491,439,388,315,219,118,59,24,16,8,5,1,2,1
"합계","강남구",계,537338,12128,22176,30096,29338,31528,39767,39197,39331,47958,50410,47760,35118,32956,28815,20538,14820,8761,4247,1794,494,106,536710,11961,21707,29967,29472,31433,39662,39275,38631,48056,49999,48137,35268,32807,28731,20971,15062,8978,4244,1762,484,103
"합계","강남구",한국인,532577,12086,22107,30045,29239,31072,38847,38342,38673,47496,50080,47484,34872,32820,28727,20503,14799,8752,4242,1792,494,105,531777,11905,21633,29913,29358,30912,38691,38412,37970,47589,49668,47849,35015,32680,28646,20939,15041,8971,4239,1760,484,102
"합계","강남구",외국인,4761,42,69,51,99,456,920,855,658,462,330,276,246,136,88,35,21,9,5,2,-,1,4933,56,74,54,114,521,971,863,661,467,331,288,253,127,85,32,21,7,5,2,0,1
"합계","송파구",계,668261,20244,28426,29569,28722,38100,52650,53940,54202,56565,52844,55082,48603,49460,39295,25286,17090,10166,5312,2065,546,94,668638,19888,28174,29664,28651,37728,52628,54269,53636,57040,52479,55465,48506,49424,39339,25927,17341,10413,5356,2072,542,96
"합계","송파구",한국인,662607,20140,28286,29470,28657,37828,52041,53194,53414,56037,52421,54460,47940,49098,39156,25231,17073,10152,5307,2063,545,94,662961,19774,28039,29574,28582,37440,51984,53515,52862,56504,52053,54849,47846,49082,39201,25872,17325,10400,5351,2071,541,96
"합계","송파구",외국인,5654,104,140,99,65,272,609,746,788,528,423,622,663,362,139,55,17,14,5,2,1,-,5677,114,135,90,69,288,644,754,774,536,426,616,660,342,138,55,16,13,5,1,1,0
"합계","강동구",계,465097,14371,19380,20015,18874,25452,34858,34912,36308,39364,36095,37417,34960,37614,29751,19256,12882,7834,3793,1515,366,80,465496,14265,19289,20003,18863,25265,34744,35055,35802,39771,35888,37645,34768,37612,29802,19831,13092,8033,3810,1508,371,79
"합계","강동구",한국인,461300,14301,19289,19940,18823,25270,34418,34414,35828,39008,35785,37023,34514,37355,29666,19218,12869,7831,3789,1514,366,79,461630,14187,19193,19927,18811,25061,34281,34538,35316,39412,35583,37248,34330,37361,29718,19793,13078,8030,3807,1507,371,78
"합계","강동구",외국인,3797,70,91,75,51,182,440,498,480,356,310,394,446,259,85,38,13,3,4,1,-,1,3866,78,96,76,52,204,463,517,486,359,305,397,438,251,84,38,14,3,3,1,0
