사업장명,업종구분대분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,데이터갱신일시
세븐일레븐 제주도두점,안전상비의약품 판매업소,20180411,,영업/정상,,,,,,제주특별자치도 제주시 도두일동 2617번지,제주특별자치도 제주시 도두항서길 59 (도두일동),63113,2018-08-31 23:59:59.0
씨유 제주신삼도점,안전상비의약품 판매업소,20121110,,영업/정상,,,,,,제주특별자치도 제주시 삼도일동 558번지 10호,제주특별자치도 제주시 서광로 257 (삼도일동),63182,2018-08-31 23:59:59.0
씨유 제주남성점,안전상비의약품 판매업소,20121110,,영업/정상,,,,,,제주특별자치도 제주시 용담일동 267번지 1호,제주특별자치도 제주시 남성로 47-1 (용담일동),63174,2018-08-31 23:59:59.0
씨유 제주서광로점,안전상비의약품 판매업소,20121110,,영업/정상,,,,,,제주특별자치도 제주시 삼도일동 580번지 32호,제주특별자치도 제주시 서광로 254-1 (삼도일동),63187,2018-08-31 23:59:59.0
씨유제주곽지교차로점,안전상비의약품 판매업소,20180515,,영업/정상,,,,,,,제주특별자치도 제주시 애월읍 일주서로 6015,63034,2018-08-31 23:59:59.0
GS25 한림초교점,안전상비의약품 판매업소,20180601,,영업/정상,,,,,,,제주특별자치도 제주시 한림읍 한림로4길 27,63032,2018-08-31 23:59:59.0
GS25 제주관광대점,안전상비의약품 판매업소,20180607,,영업/정상,,,,,,,제주특별자치도 제주시 애월읍 평화로 2727,63063,2018-08-31 23:59:59.0
씨유제주에코아바점,안전상비의약품 판매업소,20180226,,영업/정상,,,,,,제주특별자치도 제주시 노형동 904번지 5호,"제주특별자치도 제주시 원노형3길 40, 1층 103호 (노형동)",63081,2018-08-31 23:59:59.0
씨유 제주사대부점,안전상비의약품 판매업소,20121110,,영업/정상,,,,,,제주특별자치도 제주시 용담이동 599번지 8호,제주특별자치도 제주시 용담로 68 (용담이동),63156,2018-08-31 23:59:59.0
씨유 제주관덕점,안전상비의약품 판매업소,20121110,,영업/정상,,,,,,제주특별자치도 제주시 삼도이동 64번지 2호,제주특별자치도 제주시 관덕로6길 7 (삼도이동),63168,2018-08-31 23:59:59.0
(주)코리아세븐 제주문예회관점,안전상비의약품 판매업소,20121119,,영업/정상,,,,,,제주특별자치도 제주시 이도이동 314번지 1호,제주특별자치도 제주시 동광로 82 (이도이동),63214,2018-08-31 23:59:59.0
