"동별(1)",동별(2),동별(3),2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",광진구,구의2동,27974,1.39,20125,27902,1.39,20073,27444,1.39,19744,-,-,-
"합계",광진구,구의3동,30476,1.02,29878,30094,1.02,29504,29588,1.02,29008,-,-,-
"합계",광진구,광장동,36309,2.39,15192,36083,2.39,15097,35619,2.39,14903,-,-,-
"합계",광진구,자양1동,24476,0.57,42940,24156,0.57,42379,23710,0.57,41596,-,-,-
"합계",광진구,자양2동,27435,1.68,16330,26893,1.68,16008,26016,1.68,15486,-,-,-
"합계",광진구,자양3동,30132,1.20,25110,29475,1.20,24563,28957,1.20,24131,-,-,-
"합계",광진구,자양4동,24054,1.16,20736,23000,1.16,19828,21526,1.16,18557,-,-,-
"합계",동대문구,소계,364338,14.22,25630,363023,14.22,25537,357014,14.22,25114,352006,14.22,24762
"합계",동대문구,회기동,12868,0.76,16932,13114,0.76,17255,12663,0.76,16662,-,-,-
"합계",동대문구,휘경1동,14653,0.63,23259,16508,0.63,26203,15362,0.63,24384,-,-,-
"합계",동대문구,휘경2동,25147,1.05,23950,25068,1.05,23874,24992,1.05,23802,-,-,-
"합계",동대문구,청량리동,22527,1.20,18773,21808,1.20,18173,20432,1.20,17027,-,-,-
"합계",동대문구,용신동,31961,1.61,19852,32144,1.61,19965,32602,1.61,20250,-,-,-
"합계",동대문구,제기동,27576,1.18,23369,27364,1.18,23190,27017,1.18,22896,-,-,-
"합계",동대문구,전농1동,30988,1.19,26040,31075,1.19,26113,30722,1.19,25817,-,-,-
"합계",동대문구,전농2동,20351,0.86,23664,19990,0.86,23244,19449,0.86,22615,-,-,-
"합계",동대문구,답십리2동,28970,0.85,34082,30486,0.85,35866,29486,0.85,34689,-,-,-
"합계",동대문구,장안1동,39212,1.25,31370,39153,1.25,31322,39287,1.25,31430,-,-,-
"합계",동대문구,장안2동,31649,1.09,29036,33045,1.09,30317,33339,1.09,30586,-,-,-
"합계",동대문구,이문1동,26940,1.04,25904,22311,1.04,21453,21205,1.04,20389,-,-,-
"합계",동대문구,이문2동,22004,0.69,31890,21174,0.69,30687,20947,0.69,30358,-,-,-
"합계",동대문구,답십리1동,29492,0.81,36410,29783,0.81,36769,29511,0.81,36433,-,-,-
"합계",중랑구,소계,408147,18.50,22067,402024,18.50,21736,399562,18.50,21603,391885,18.50,21188
"합계",중랑구,면목2동,26482,0.73,36277,25942,0.73,35537,25214,0.77,32745,-,-,-
"합계",중랑구,면목4동,20730,1.11,18676,20052,1.10,18229,19270,0.87,22149,-,-,-
"합계",중랑구,면목5동,10071,0.64,15736,9825,0.64,15352,14661,0.70,20944,-,-,-
"합계",중랑구,면목7동,22258,0.87,25584,22200,0.87,25517,22714,1.20,18928,-,-,-
"합계",중랑구,상봉1동,25619,0.85,30140,25499,0.85,29999,24912,0.88,28309,-,-,-
"합계",중랑구,상봉2동,19243,0.68,28299,19844,0.68,29182,20214,0.65,31098,-,-,-
"합계",중랑구,중화1동,21030,0.68,30926,20916,0.68,30759,20400,0.64,31875,-,-,-
"합계",중랑구,중화2동,28660,0.98,29245,27274,0.98,27831,26073,1.01,25815,-,-,-
"합계",중랑구,묵1동,36233,1.20,30194,36016,1.20,30013,35588,1.20,29657,-,-,-
"합계",중랑구,묵2동,20355,0.70,29079,19901,0.70,28430,19672,0.67,29361,-,-,-
"합계",중랑구,망우3동,18334,0.99,18519,17941,0.99,18122,17508,0.92,19030,-,-,-
"합계",중랑구,신내1동,41264,2.53,16310,40854,2.53,16148,39831,2.56,15559,-,-,-
"합계",중랑구,신내2동,22379,0.99,22605,21905,0.99,22126,21302,0.93,22905,-,-,-
"합계",중랑구,면목본동,36558,1.01,36196,36195,1.01,35837,35424,0.84,42171,-,-,-
"합계",중랑구,면목3.8동,27139,1.67,16251,26589,1.67,15922,25995,1.63,15948,-,-,-
"합계",중랑구,망우본동,31792,2.88,11039,31071,2.88,10789,30784,3.03,10160,-,-,-
